name,description,homepage,num_install_30d,num_install_90d,num_install_365d,num_install_on_request_30d,num_install_on_request_90d,num_install_on_request_365d,generated_date
ape,Ajax Push Engine,https://web.archive.org/web/20200810042306/www.ape-project.org/,0,0,28,0,0,28,2021-08-21
apgdiff,Another PostgreSQL diff tool,https://www.apgdiff.com/,23,69,179,23,69,179,2021-08-21
apib,HTTP performance-testing tool,https://github.com/apigee/apib,29,84,476,29,84,476,2021-08-21
apibuilder-cli,Command-line interface to generate clients for api builder,https://www.apibuilder.io,11,40,222,11,40,223,2021-08-21
apidoc,RESTful web API Documentation Generator,https://apidocjs.com,68,143,447,68,143,447,2021-08-21
apktool,"Tool for reverse engineering 3rd party, closed, binary Android apps",https://github.com/iBotPeaches/Apktool,1797,6031,33136,1795,6019,33014,2021-08-21
apm-bash-completion,Completion for Atom Package Manager,https://github.com/vigo/apm-bash-completion,18,70,349,18,70,348,2021-08-21
apng2gif,Convert APNG animations into animated GIF format,https://apng2gif.sourceforge.io/,8,21,81,7,20,80,2021-08-21
apngasm,"Next generation of apngasm, the APNG assembler",https://github.com/apngasm/apngasm,53,171,655,53,171,655,2021-08-21
apollo,Multi-protocol messaging broker based on ActiveMQ,https://activemq.apache.org/,78,186,656,78,186,655,2021-08-21
apollo-cli,Command-line tool for Apollo GraphQL,https://apollographql.com,191,603,2205,192,603,2203,2021-08-21
app-engine-java,Google App Engine for Java,https://cloud.google.com/appengine/docs/java/,26,65,391,26,65,373,2021-08-21
app-engine-python,Google App Engine,https://cloud.google.com/appengine/docs,9,51,232,9,51,229,2021-08-21
apparix,File system navigation via bookmarking directories,https://micans.org/apparix/,5,9,58,5,9,58,2021-08-21
appium,Automation for Apps,https://appium.io/,632,1940,7679,632,1940,7663,2021-08-21
appledoc,Objective-C API documentation generator,http://appledoc.gentlebytes.com/,7,27,820,7,27,806,2021-08-21
appscale-tools,Command-line tools for working with AppScale,https://github.com/AppScale/appscale-tools,2,9,76,2,9,76,2021-08-21
appstream-glib,Helper library for reading and writing AppStream metadata,https://github.com/hughsie/appstream-glib,53,156,613,51,151,591,2021-08-21
apr,Apache Portable Runtime library,https://apr.apache.org/,41112,132920,603239,647,2216,12576,2021-08-21
apr-util,"Companion library to apr, the Apache Portable Runtime library",https://apr.apache.org/,29556,91768,405858,1306,4310,27786,2021-08-21
apt,Advanced Package Tool,https://wiki.debian.org/apt,4,4,4,4,4,4,2021-08-21
apt-dater,Manage package updates on remote hosts using SSH,https://github.com/DE-IBH/apt-dater,130,319,673,130,319,673,2021-08-21
aptly,Swiss army knife for Debian repository management,https://www.aptly.info/,44,113,506,44,113,504,2021-08-21
aqbanking,Generic online banking interface,https://www.aquamaniac.de/sites/aqbanking/,49,170,606,43,139,500,2021-08-21
arabica,XML toolkit written in C++,https://www.jezuk.co.uk/tags/arabica.html,8,14,80,8,14,80,2021-08-21
arangodb,Multi-Model NoSQL Database,https://www.arangodb.com/,403,934,4863,402,928,4797,2021-08-21
aravis,Vision library for genicam based cameras,https://wiki.gnome.org/Projects/Aravis,72,224,744,67,203,675,2021-08-21
arb,C library for arbitrary-precision interval arithmetic,https://arblib.org,70,153,473,70,153,472,2021-08-21
arcade-learning-environment,Platform for AI research,https://github.com/mgbellemare/Arcade-Learning-Environment,2,31,183,2,31,182,2021-08-21
archey,Graphical system information display for macOS,https://obihann.github.io/archey-osx/,423,1389,7134,423,1389,7088,2021-08-21
archey4,Simple system information tool written in Python,https://github.com/HorlogeSkynet/archey4,48,169,353,48,169,353,2021-08-21
